 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.50E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76596048D-01  0.14624228D+00  0.20966650D+00  0.26742355D+00  0.32001936D+00  0.36791498D+00  0.41153037D+00  0.45124013D+00  0.48740144D+00  0.52033854D+00  0.57763292D+00  0.60250039D+00  0.62514712D+00  0.66455086D+00  0.68165333D+00  0.71141051D+00  0.73608771D+00  0.76543436D+00  0.78088883D+00  0.79926728D+00  0.81314586D+00  0.82362662D+00  0.83372309D+00  0.84066717D+00  0.84638306D+00  0.84996349D+00  0.85254265D+00  0.85401397D+00  0.85495319D+00  0.85548862D+00  0.85574221D+00  0.85588075D+00  0.85593548D+00  0.85595953D+00  0.85596787D+00  0.85597045D+00  0.85597124D+00  0.85597146D+00  0.85597151D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00  0.85597153D+00
C           0.16934207D-07  0.20138299D-08  0.17131308D-08  0.15500419D-08  0.14597953D-08  0.14082467D-08  0.13774390D-08  0.13579190D-08  0.13446953D-08  0.13350978D-08  0.13276906D-08  0.13166498D-08  0.13123055D-08  0.13084968D-08  0.13020993D-08  0.12993854D-08  0.12947205D-08  0.12908857D-08  0.12863385D-08  0.12839404D-08  0.12810778D-08  0.12789042D-08  0.12772539D-08  0.12756553D-08  0.12745503D-08  0.12736370D-08  0.12730631D-08  0.12726488D-08  0.12724121D-08  0.12722609D-08  0.12721746D-08  0.12721338D-08  0.12721114D-08  0.12721026D-08  0.12720988D-08  0.12720974D-08  0.12720970D-08  0.12720969D-08  0.12720968D-08  0.12720968D-08  0.12720968D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720969D-08  0.12720970D-08  0.12720970D-08  0.12720970D-08  0.12720970D-08  0.12720970D-08  0.12720971D-08  0.12720971D-08  0.12720971D-08  0.12720972D-08  0.12720972D-08  0.12720972D-08  0.12720973D-08  0.12720973D-08  0.12720974D-08  0.12720974D-08  0.12720975D-08  0.12720976D-08  0.12720976D-08  0.12720977D-08  0.12720978D-08  0.12720979D-08  0.12720980D-08  0.12720981D-08  0.12720982D-08  0.12720983D-08  0.12720985D-08  0.12720986D-08  0.12720987D-08  0.12720989D-08  0.12720990D-08  0.12720992D-08  0.12720993D-08  0.12720995D-08  0.12720996D-08  0.12720998D-08  0.12720999D-08  0.12721001D-08  0.12721002D-08  0.12721003D-08  0.12721004D-08  0.12721005D-08  0.12721006D-08  0.12721007D-08  0.12721007D-08  0.12721008D-08  0.12721008D-08  0.12721008D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08  0.12721009D-08
Fe          0.30393505D-09  0.17281625D-12  0.28311765D-12  0.36012753D-12  0.41442521D-12  0.45298285D-12  0.48050335D-12  0.50021852D-12  0.51437097D-12  0.52455857D-12  0.53190803D-12  0.54103618D-12  0.54380428D-12  0.54580746D-12  0.54830880D-12  0.54907102D-12  0.55002667D-12  0.55053325D-12  0.55088858D-12  0.55099750D-12  0.55107862D-12  0.55111563D-12  0.55113457D-12  0.55114828D-12  0.55115624D-12  0.55116236D-12  0.55116614D-12  0.55116887D-12  0.55117045D-12  0.55117145D-12  0.55117203D-12  0.55117231D-12  0.55117246D-12  0.55117252D-12  0.55117254D-12  0.55117255D-12  0.55117256D-12  0.55117256D-12  0.55117256D-12  0.55117256D-12  0.55117256D-12  0.55117256D-12  0.55117256D-12  0.55117257D-12  0.55117257D-12  0.55117257D-12  0.55117257D-12  0.55117257D-12  0.55117258D-12  0.55117258D-12  0.55117258D-12  0.55117258D-12  0.55117259D-12  0.55117259D-12  0.55117260D-12  0.55117260D-12  0.55117260D-12  0.55117261D-12  0.55117262D-12  0.55117262D-12  0.55117263D-12  0.55117264D-12  0.55117265D-12  0.55117266D-12  0.55117267D-12  0.55117268D-12  0.55117269D-12  0.55117270D-12  0.55117272D-12  0.55117273D-12  0.55117275D-12  0.55117277D-12  0.55117279D-12  0.55117281D-12  0.55117283D-12  0.55117286D-12  0.55117288D-12  0.55117291D-12  0.55117293D-12  0.55117296D-12  0.55117299D-12  0.55117302D-12  0.55117305D-12  0.55117308D-12  0.55117311D-12  0.55117314D-12  0.55117317D-12  0.55117320D-12  0.55117322D-12  0.55117325D-12  0.55117327D-12  0.55117329D-12  0.55117330D-12  0.55117332D-12  0.55117333D-12  0.55117334D-12  0.55117334D-12  0.55117335D-12  0.55117335D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12  0.55117336D-12
Mg          0.15047259D-08  0.16873365D-11  0.26733322D-11  0.33368344D-11  0.37929269D-11  0.41111231D-11  0.43354280D-11  0.44947119D-11  0.46083476D-11  0.46897934D-11  0.47483726D-11  0.48209413D-11  0.48429148D-11  0.48588117D-11  0.48786677D-11  0.48847247D-11  0.48923328D-11  0.48963819D-11  0.48992450D-11  0.49001351D-11  0.49008119D-11  0.49011318D-11  0.49013028D-11  0.49014321D-11  0.49015098D-11  0.49015707D-11  0.49016085D-11  0.49016360D-11  0.49016517D-11  0.49016619D-11  0.49016677D-11  0.49016704D-11  0.49016719D-11  0.49016725D-11  0.49016728D-11  0.49016729D-11  0.49016729D-11  0.49016729D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016730D-11  0.49016731D-11  0.49016731D-11  0.49016731D-11  0.49016731D-11  0.49016731D-11  0.49016732D-11  0.49016732D-11  0.49016732D-11  0.49016733D-11  0.49016733D-11  0.49016733D-11  0.49016734D-11  0.49016734D-11  0.49016735D-11  0.49016736D-11  0.49016736D-11  0.49016737D-11  0.49016738D-11  0.49016739D-11  0.49016740D-11  0.49016741D-11  0.49016742D-11  0.49016743D-11  0.49016745D-11  0.49016746D-11  0.49016748D-11  0.49016749D-11  0.49016751D-11  0.49016753D-11  0.49016755D-11  0.49016757D-11  0.49016759D-11  0.49016761D-11  0.49016763D-11  0.49016766D-11  0.49016768D-11  0.49016771D-11  0.49016773D-11  0.49016775D-11  0.49016778D-11  0.49016780D-11  0.49016782D-11  0.49016784D-11  0.49016785D-11  0.49016787D-11  0.49016788D-11  0.49016789D-11  0.49016790D-11  0.49016791D-11  0.49016791D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11  0.49016792D-11
S           0.66584756D-07  0.17070266D-12  0.28125881D-12  0.36107672D-12  0.41868571D-12  0.46026653D-12  0.49027716D-12  0.51193450D-12  0.52755058D-12  0.53881684D-12  0.54694774D-12  0.55702255D-12  0.56006005D-12  0.56224533D-12  0.56494181D-12  0.56574852D-12  0.56673573D-12  0.56723349D-12  0.56754897D-12  0.56762804D-12  0.56766867D-12  0.56767293D-12  0.56766658D-12  0.56765585D-12  0.56764711D-12  0.56763965D-12  0.56763500D-12  0.56763171D-12  0.56762987D-12  0.56762870D-12  0.56762805D-12  0.56762774D-12  0.56762757D-12  0.56762750D-12  0.56762747D-12  0.56762746D-12  0.56762746D-12  0.56762746D-12  0.56762746D-12  0.56762746D-12  0.56762746D-12  0.56762746D-12  0.56762747D-12  0.56762747D-12  0.56762747D-12  0.56762747D-12  0.56762747D-12  0.56762748D-12  0.56762748D-12  0.56762748D-12  0.56762748D-12  0.56762749D-12  0.56762749D-12  0.56762750D-12  0.56762750D-12  0.56762751D-12  0.56762751D-12  0.56762752D-12  0.56762752D-12  0.56762753D-12  0.56762754D-12  0.56762755D-12  0.56762756D-12  0.56762757D-12  0.56762758D-12  0.56762759D-12  0.56762761D-12  0.56762762D-12  0.56762764D-12  0.56762766D-12  0.56762768D-12  0.56762770D-12  0.56762772D-12  0.56762774D-12  0.56762777D-12  0.56762780D-12  0.56762782D-12  0.56762785D-12  0.56762789D-12  0.56762792D-12  0.56762795D-12  0.56762798D-12  0.56762802D-12  0.56762805D-12  0.56762809D-12  0.56762812D-12  0.56762815D-12  0.56762818D-12  0.56762821D-12  0.56762824D-12  0.56762826D-12  0.56762829D-12  0.56762831D-12  0.56762832D-12  0.56762833D-12  0.56762834D-12  0.56762835D-12  0.56762836D-12  0.56762836D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12  0.56762837D-12
Si          0.88321490D-09  0.67442055D-13  0.94221436D-13  0.11327345D-12  0.12675559D-12  0.13625661D-12  0.14291740D-12  0.14755514D-12  0.15075212D-12  0.15293069D-12  0.15439089D-12  0.15594076D-12  0.15629284D-12  0.15647616D-12  0.15653804D-12  0.15648205D-12  0.15629265D-12  0.15606727D-12  0.15574434D-12  0.15555872D-12  0.15533014D-12  0.15515483D-12  0.15502224D-12  0.15489510D-12  0.15480829D-12  0.15473735D-12  0.15469319D-12  0.15466151D-12  0.15464350D-12  0.15463202D-12  0.15462548D-12  0.15462239D-12  0.15462070D-12  0.15462003D-12  0.15461974D-12  0.15461964D-12  0.15461961D-12  0.15461960D-12  0.15461959D-12  0.15461959D-12  0.15461959D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461960D-12  0.15461961D-12  0.15461961D-12  0.15461961D-12  0.15461961D-12  0.15461961D-12  0.15461962D-12  0.15461962D-12  0.15461962D-12  0.15461962D-12  0.15461963D-12  0.15461963D-12  0.15461963D-12  0.15461964D-12  0.15461964D-12  0.15461965D-12  0.15461965D-12  0.15461966D-12  0.15461966D-12  0.15461967D-12  0.15461968D-12  0.15461968D-12  0.15461969D-12  0.15461970D-12  0.15461971D-12  0.15461972D-12  0.15461973D-12  0.15461974D-12  0.15461975D-12  0.15461975D-12  0.15461976D-12  0.15461977D-12  0.15461978D-12  0.15461979D-12  0.15461980D-12  0.15461981D-12  0.15461981D-12  0.15461982D-12  0.15461982D-12  0.15461983D-12  0.15461983D-12  0.15461983D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12  0.15461984D-12
O           0.60213140D-04  0.11799086D-03  0.15182894D-03  0.17627976D-03  0.19394782D-03  0.20671489D-03  0.21594071D-03  0.22260768D-03  0.22742254D-03  0.23090274D-03  0.23342002D-03  0.23655195D-03  0.23750184D-03  0.23818862D-03  0.23904395D-03  0.23930340D-03  0.23962659D-03  0.23979561D-03  0.23991097D-03  0.23994458D-03  0.23996769D-03  0.23997664D-03  0.23998019D-03  0.23998194D-03  0.23998255D-03  0.23998286D-03  0.23998300D-03  0.23998309D-03  0.23998314D-03  0.23998318D-03  0.23998319D-03  0.23998320D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998321D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998322D-03  0.23998323D-03  0.23998323D-03  0.23998323D-03  0.23998323D-03  0.23998323D-03  0.23998323D-03  0.23998324D-03  0.23998324D-03  0.23998324D-03  0.23998324D-03  0.23998324D-03  0.23998325D-03  0.23998325D-03  0.23998325D-03  0.23998325D-03  0.23998325D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998326D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998327D-03  0.23998326D-03  0.23998326D-03
N           0.38684512D-04  0.61999998D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999999D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04  0.61999998D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01  0.89999997D-01
