 Jspace =            1
    Gas temperature (K)  0.20E+03
 Total H density (cm-3)  0.10E+05
            0.00000000D+00  0.10000000D+03  0.20000000D+03  0.30000000D+03  0.40000000D+03  0.50000000D+03  0.60000000D+03  0.70000000D+03  0.80000000D+03  0.90000000D+03  0.10000000D+04  0.12000000D+04  0.13000000D+04  0.14000000D+04  0.16000000D+04  0.17000000D+04  0.19000000D+04  0.21000000D+04  0.24000000D+04  0.26000000D+04  0.29000000D+04  0.32000000D+04  0.35000000D+04  0.39000000D+04  0.43000000D+04  0.48000000D+04  0.53000000D+04  0.59000000D+04  0.65000000D+04  0.72000000D+04  0.80000000D+04  0.88000000D+04  0.98000000D+04  0.10800000D+05  0.12000000D+05  0.13300000D+05  0.14700000D+05  0.16300000D+05  0.18100000D+05  0.20000000D+05  0.22100000D+05  0.24500000D+05  0.27100000D+05  0.30100000D+05  0.33300000D+05  0.36800000D+05  0.40800000D+05  0.45200000D+05  0.50000000D+05  0.55400000D+05  0.61300000D+05  0.67900000D+05  0.75200000D+05  0.83200000D+05  0.92200000D+05  0.10210000D+06  0.11300000D+06  0.12510000D+06  0.13850000D+06  0.15340000D+06  0.16990000D+06  0.18810000D+06  0.20820000D+06  0.23060000D+06  0.25530000D+06  0.28270000D+06  0.31300000D+06  0.34660000D+06  0.38380000D+06  0.42490000D+06  0.47050000D+06  0.52100000D+06  0.57680000D+06  0.63870000D+06  0.70720000D+06  0.78310000D+06  0.86710000D+06  0.96010000D+06  0.10630000D+07  0.11771000D+07  0.13033000D+07  0.14431000D+07  0.15979000D+07  0.17692000D+07  0.19590000D+07  0.21691000D+07  0.24018000D+07  0.26594000D+07  0.29446000D+07  0.32604000D+07  0.36101000D+07  0.39973000D+07  0.44261000D+07  0.49008000D+07  0.54264000D+07  0.60084000D+07  0.66529000D+07  0.73664000D+07  0.81565000D+07  0.90313000D+07  0.10000000D+08  0.10630000D+08  0.11771000D+08  0.13033000D+08  0.14431000D+08  0.15979000D+08  0.17692000D+08  0.19590000D+08  0.21691000D+08  0.24018000D+08  0.26594000D+08  0.29446000D+08  0.32604000D+08  0.36101000D+08  0.39973000D+08  0.44261000D+08  0.49008000D+08  0.54264000D+08  0.60084000D+08  0.66529000D+08  0.73664000D+08  0.81565000D+08  0.90313000D+08  0.10000000D+09
H           0.10226114D-03  0.76992396D-01  0.14776461D+00  0.21291309D+00  0.27288431D+00  0.32808949D+00  0.37889847D+00  0.42567808D+00  0.46873100D+00  0.50836255D+00  0.54485280D+00  0.60934897D+00  0.63780745D+00  0.66400444D+00  0.71031628D+00  0.73075016D+00  0.76687561D+00  0.79748776D+00  0.83487351D+00  0.85510812D+00  0.87981988D+00  0.89909593D+00  0.91413282D+00  0.92916651D+00  0.93996152D+00  0.94928089D+00  0.95544263D+00  0.96014419D+00  0.96300464D+00  0.96496070D+00  0.96616614D+00  0.96678786D+00  0.96716059D+00  0.96732355D+00  0.96740331D+00  0.96743430D+00  0.96744534D+00  0.96744909D+00  0.96745017D+00  0.96745043D+00  0.96745048D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00  0.96745050D+00
C           0.16934207D-07  0.35750166D-09  0.26815816D-09  0.20565281D-09  0.16151729D-09  0.13012619D-09  0.10768563D-09  0.91548296D-10  0.79918379D-10  0.71502381D-10  0.65389602D-10  0.57701015D-10  0.55324533D-10  0.53577572D-10  0.51330894D-10  0.50616306D-10  0.49671684D-10  0.49119111D-10  0.48662193D-10  0.48485571D-10  0.48316339D-10  0.48210581D-10  0.48140719D-10  0.48081477D-10  0.48046912D-10  0.48025405D-10  0.48018716D-10  0.48021671D-10  0.48030613D-10  0.48043806D-10  0.48058962D-10  0.48072382D-10  0.48085913D-10  0.48096033D-10  0.48104566D-10  0.48110600D-10  0.48114634D-10  0.48117327D-10  0.48118965D-10  0.48119852D-10  0.48120324D-10  0.48120561D-10  0.48120666D-10  0.48120710D-10  0.48120725D-10  0.48120731D-10  0.48120733D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120734D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120735D-10  0.48120736D-10  0.48120736D-10  0.48120736D-10  0.48120736D-10  0.48120736D-10  0.48120736D-10  0.48120737D-10  0.48120737D-10  0.48120737D-10  0.48120738D-10  0.48120738D-10  0.48120738D-10  0.48120739D-10  0.48120739D-10  0.48120740D-10  0.48120740D-10  0.48120741D-10  0.48120741D-10  0.48120742D-10  0.48120743D-10  0.48120744D-10  0.48120745D-10  0.48120746D-10  0.48120747D-10  0.48120749D-10  0.48120750D-10  0.48120752D-10  0.48120754D-10  0.48120756D-10  0.48120758D-10  0.48120760D-10  0.48120763D-10  0.48120765D-10  0.48120768D-10  0.48120771D-10  0.48120775D-10  0.48120779D-10  0.48120782D-10  0.48120787D-10  0.48120791D-10
Fe          0.30393505D-09  0.11922418D-13  0.19788130D-13  0.25471233D-13  0.29579091D-13  0.32549162D-13  0.34695910D-13  0.36250268D-13  0.37374515D-13  0.38188913D-13  0.38779797D-13  0.39519550D-13  0.39746365D-13  0.39912022D-13  0.40122958D-13  0.40189391D-13  0.40276907D-13  0.40328780D-13  0.40374835D-13  0.40395672D-13  0.40420744D-13  0.40442496D-13  0.40462703D-13  0.40488088D-13  0.40511824D-13  0.40539021D-13  0.40563339D-13  0.40588741D-13  0.40610265D-13  0.40630992D-13  0.40649725D-13  0.40664137D-13  0.40677427D-13  0.40686801D-13  0.40694423D-13  0.40699690D-13  0.40703162D-13  0.40705463D-13  0.40706857D-13  0.40707610D-13  0.40708010D-13  0.40708211D-13  0.40708300D-13  0.40708339D-13  0.40708351D-13  0.40708356D-13  0.40708357D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708358D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708359D-13  0.40708360D-13  0.40708360D-13  0.40708360D-13  0.40708360D-13  0.40708360D-13  0.40708361D-13  0.40708361D-13  0.40708361D-13  0.40708361D-13  0.40708362D-13  0.40708362D-13  0.40708363D-13  0.40708363D-13  0.40708363D-13  0.40708364D-13  0.40708365D-13  0.40708365D-13  0.40708366D-13  0.40708367D-13  0.40708368D-13  0.40708369D-13  0.40708370D-13  0.40708371D-13  0.40708372D-13  0.40708374D-13  0.40708375D-13  0.40708376D-13  0.40708378D-13  0.40708380D-13  0.40708382D-13
Mg          0.15047259D-08  0.12767349D-12  0.20877806D-12  0.26721347D-12  0.30936840D-12  0.33980577D-12  0.36178564D-12  0.37769119D-12  0.38919199D-12  0.39752234D-12  0.40356699D-12  0.41113793D-12  0.41346126D-12  0.41515946D-12  0.41732521D-12  0.41800884D-12  0.41891188D-12  0.41944964D-12  0.41993001D-12  0.42014845D-12  0.42041171D-12  0.42063989D-12  0.42085138D-12  0.42111637D-12  0.42136353D-12  0.42164618D-12  0.42189851D-12  0.42216178D-12  0.42238467D-12  0.42259916D-12  0.42279291D-12  0.42294192D-12  0.42307931D-12  0.42317619D-12  0.42325496D-12  0.42330938D-12  0.42334526D-12  0.42336903D-12  0.42338344D-12  0.42339121D-12  0.42339535D-12  0.42339742D-12  0.42339835D-12  0.42339874D-12  0.42339887D-12  0.42339892D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339894D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339895D-12  0.42339896D-12  0.42339896D-12  0.42339896D-12  0.42339896D-12  0.42339896D-12  0.42339896D-12  0.42339896D-12  0.42339897D-12  0.42339897D-12  0.42339897D-12  0.42339897D-12  0.42339898D-12  0.42339898D-12  0.42339898D-12  0.42339899D-12  0.42339899D-12  0.42339900D-12  0.42339900D-12  0.42339901D-12  0.42339901D-12  0.42339902D-12  0.42339903D-12  0.42339904D-12  0.42339904D-12  0.42339905D-12  0.42339907D-12  0.42339908D-12  0.42339909D-12  0.42339910D-12  0.42339912D-12  0.42339913D-12  0.42339915D-12  0.42339917D-12  0.42339919D-12
S           0.66584756D-07  0.73658282D-14  0.12078253D-13  0.15488615D-13  0.17955662D-13  0.19739602D-13  0.21028390D-13  0.21960588D-13  0.22633755D-13  0.23120335D-13  0.23472385D-13  0.23910729D-13  0.24044051D-13  0.24140769D-13  0.24262409D-13  0.24300059D-13  0.24348663D-13  0.24376525D-13  0.24400306D-13  0.24410811D-13  0.24423531D-13  0.24434884D-13  0.24445777D-13  0.24459891D-13  0.24473434D-13  0.24489262D-13  0.24503631D-13  0.24518808D-13  0.24531776D-13  0.24544339D-13  0.24555747D-13  0.24564552D-13  0.24572691D-13  0.24578441D-13  0.24583121D-13  0.24586357D-13  0.24588492D-13  0.24589907D-13  0.24590764D-13  0.24591228D-13  0.24591474D-13  0.24591597D-13  0.24591652D-13  0.24591675D-13  0.24591683D-13  0.24591686D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591687D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591688D-13  0.24591689D-13  0.24591689D-13  0.24591689D-13  0.24591689D-13  0.24591689D-13  0.24591689D-13  0.24591689D-13  0.24591690D-13  0.24591690D-13  0.24591690D-13  0.24591690D-13  0.24591691D-13  0.24591691D-13  0.24591691D-13  0.24591692D-13  0.24591692D-13  0.24591692D-13  0.24591693D-13  0.24591693D-13  0.24591694D-13  0.24591695D-13  0.24591695D-13  0.24591696D-13  0.24591697D-13  0.24591698D-13  0.24591699D-13  0.24591700D-13  0.24591701D-13  0.24591702D-13
Si          0.88321490D-09  0.42653865D-14  0.59934326D-14  0.72251295D-14  0.80988398D-14  0.87158749D-14  0.91490208D-14  0.94515760D-14  0.96606986D-14  0.98037622D-14  0.99002228D-14  0.10004126D-13  0.10028626D-13  0.10042155D-13  0.10049409D-13  0.10047386D-13  0.10038296D-13  0.10026844D-13  0.10010592D-13  0.10001641D-13  0.99913786D-14  0.99844689D-14  0.99802027D-14  0.99774959D-14  0.99770861D-14  0.99785122D-14  0.99810922D-14  0.99848029D-14  0.99885932D-14  0.99926964D-14  0.99967215D-14  0.99999897D-14  0.10003116D-13  0.10005377D-13  0.10007244D-13  0.10008548D-13  0.10009413D-13  0.10009989D-13  0.10010338D-13  0.10010526D-13  0.10010627D-13  0.10010677D-13  0.10010700D-13  0.10010709D-13  0.10010712D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010714D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010715D-13  0.10010716D-13  0.10010716D-13  0.10010716D-13  0.10010716D-13  0.10010716D-13  0.10010717D-13  0.10010717D-13  0.10010717D-13  0.10010717D-13  0.10010718D-13  0.10010718D-13  0.10010718D-13  0.10010719D-13  0.10010719D-13  0.10010720D-13  0.10010720D-13
O           0.60213140D-04  0.11800562D-03  0.15184437D-03  0.17629688D-03  0.19396681D-03  0.20673549D-03  0.21595689D-03  0.22262597D-03  0.22744180D-03  0.23092265D-03  0.23344065D-03  0.23657272D-03  0.23752267D-03  0.23820925D-03  0.23906400D-03  0.23932319D-03  0.23964594D-03  0.23981455D-03  0.23992938D-03  0.23996268D-03  0.23998540D-03  0.23999403D-03  0.23999733D-03  0.23999883D-03  0.23999927D-03  0.23999943D-03  0.23999948D-03  0.23999950D-03  0.23999951D-03  0.23999952D-03  0.23999952D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999950D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999951D-03  0.23999952D-03  0.23999952D-03
N           0.38684512D-04  0.61999992D-04  0.61999996D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999997D-04  0.61999996D-04  0.61999996D-04  0.61999995D-04  0.61999995D-04  0.61999993D-04  0.61999991D-04  0.61999987D-04  0.61999983D-04  0.61999975D-04  0.61999965D-04  0.61999951D-04  0.61999929D-04  0.61999902D-04  0.61999866D-04  0.61999829D-04  0.61999789D-04  0.61999756D-04  0.61999726D-04  0.61999701D-04  0.61999684D-04  0.61999670D-04  0.61999660D-04  0.61999653D-04  0.61999649D-04  0.61999646D-04  0.61999644D-04  0.61999643D-04  0.61999642D-04  0.61999642D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04  0.61999641D-04
He          0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.90000000D-01  0.89999999D-01  0.89999999D-01  0.89999999D-01  0.89999998D-01  0.89999998D-01  0.89999998D-01  0.89999997D-01  0.89999996D-01  0.89999995D-01  0.89999994D-01  0.89999993D-01  0.89999992D-01  0.89999991D-01  0.89999989D-01  0.89999988D-01  0.89999987D-01  0.89999986D-01  0.89999985D-01  0.89999984D-01  0.89999983D-01  0.89999983D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999982D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01  0.89999981D-01
